,0,1
393,7.9,11684.0
395,5.9,3478.0
396,7.8,609.0
397,6.4,582.0
398,7.0,1132.0
400,6.6,293.0
401,7.1,1467.0
402,6.9,2953.0
403,7.3,1222.0
404,7.7,1161.0
405,8.0,787.0
406,8.1,2973.0
407,6.6,35.0
408,7.1,6160.0
409,7.2,1679.0
410,6.7,33.0
411,7.1,8575.0
414,5.4,4254.0
415,4.3,4137.0
419,4.5,12.0
422,8.2,1781.0
423,8.4,7239.0
424,8.6,12732.0
425,7.3,11073.0
426,8.2,4576.0
427,7.4,392.0
428,5.8,18.0
429,8.5,6610.0
430,7.6,274.0
431,6.8,3786.0
433,7.6,3939.0
434,6.7,40.0
435,6.5,6591.0
436,7.3,299.0
437,5.5,1116.0
438,5.7,805.0
439,8.2,1462.0
440,5.1,2191.0
441,6.0,190.0
442,6.3,37.0
445,7.1,789.0
446,7.5,23.0
451,7.3,1076.0
452,6.5,400.0
453,7.9,8479.0
454,6.8,4225.0
455,6.3,1577.0
457,7.3,387.0
458,7.2,274.0
459,7.2,268.0
460,6.4,38.0
462,7.4,2486.0
464,7.2,119.0
465,5.5,21.0
466,6.8,291.0
467,6.2,662.0
469,7.2,383.0
470,7.4,2550.0
471,6.2,16.0
473,7.1,1750.0
475,7.5,1227.0
476,7.2,385.0
479,6.0,1001.0
480,6.8,158.0
481,6.0,48.0
482,6.5,253.0
483,7.1,1243.0
488,7.4,691.0
489,8.1,9600.0
490,8.2,2323.0
491,8.0,6.0
492,7.4,3456.0
493,6.0,34.0
494,6.0,34.0
496,6.7,4353.0
497,8.5,13893.0
499,7.7,435.0
500,8.1,11861.0
501,7.5,628.0
502,7.8,268.0
503,5.8,1738.0
504,7.2,1808.0
505,6.3,187.0
506,7.2,829.0
507,6.3,256.0
508,7.1,5489.0
509,7.3,4917.0
510,8.4,8564.0
511,7.0,50.0
512,6.6,1353.0
513,6.6,50.0
521,8.0,1993.0
522,7.5,1840.0
523,6.7,66.0
524,8.0,4488.0
525,7.7,3369.0
526,7.0,902.0
527,7.4,294.0
530,7.5,636.0
531,7.7,730.0
532,7.5,599.0
533,7.0,2116.0
534,6.0,5394.0
535,6.5,1146.0
536,5.0,1.0
537,6.8,20.0
538,5.0,1.0
539,8.4,8156.0
540,6.4,412.0
541,7.2,158.0
542,6.5,207.0
543,6.6,161.0
544,6.6,4134.0
547,6.9,925.0
548,8.2,1630.0
549,6.7,231.0
550,8.4,24037.0
551,7.2,638.0
552,7.3,207.0
553,7.8,1923.0
554,7.1,65.0
555,7.9,20.0
557,7.2,15651.0
558,7.2,12546.0
559,6.4,11583.0
560,6.6,88.0
561,7.0,5582.0
562,7.7,9090.0
563,7.0,3778.0
564,6.9,7374.0
565,6.6,5034.0
567,8.4,5116.0
568,7.4,4471.0
570,6.2,147.0
571,7.5,3192.0
572,6.4,150.0
573,7.1,649.0
574,7.5,1050.0
575,7.4,863.0
576,7.7,891.0
577,6.6,601.0
578,7.6,8322.0
579,5.9,1470.0
580,4.0,771.0
581,7.9,3349.0
582,8.1,2893.0
583,7.8,3485.0
584,6.4,5924.0
585,7.8,15473.0
587,7.8,6100.0
588,6.5,3377.0
590,7.3,1357.0
591,6.7,7832.0
592,7.6,1255.0
593,7.9,1197.0
594,7.3,6403.0
595,8.0,2059.0
596,7.9,719.0
597,7.9,20967.0
598,8.4,5766.0
599,8.4,1938.0
600,8.1,8520.0
601,7.5,9456.0
602,6.8,8022.0
603,8.2,21514.0
604,7.0,9006.0
605,6.7,8094.0
606,7.2,1090.0
607,7.2,11609.0
608,6.3,8364.0
609,7.1,2310.0
612,7.1,2056.0
613,7.8,2985.0
614,8.1,1241.0
615,7.4,3452.0
616,7.5,5568.0
617,6.3,1317.0
618,6.1,397.0
619,6.7,2322.0
620,7.5,7309.0
621,7.4,6054.0
622,6.4,2324.0
623,7.2,1678.0
624,7.1,1562.0
625,7.5,548.0
626,7.5,985.0
627,8.0,8156.0
628,7.4,4654.0
629,8.2,8550.0
630,7.6,4509.0
631,7.9,587.0
632,7.8,438.0
633,7.1,115.0
634,6.8,4199.0
635,7.1,1123.0
636,6.5,725.0
637,8.5,11039.0
638,7.6,1945.0
640,8.0,12501.0
641,8.0,8075.0
642,7.6,1702.0
643,7.7,864.0
644,7.0,5159.0
646,7.0,2802.0
647,7.1,889.0
648,7.5,457.0
649,7.5,624.0
650,7.6,1444.0
651,7.0,768.0
652,7.1,8472.0
653,7.7,1444.0
654,8.0,1182.0
655,8.1,1266.0
657,7.1,2288.0
658,7.4,2820.0
659,7.0,322.0
660,6.6,1731.0
661,7.4,173.0
662,7.9,654.0
663,6.1,2926.0
664,6.4,2526.0
665,7.8,2083.0
666,8.2,657.0
667,6.5,1630.0
668,6.6,1411.0
669,7.1,211.0
670,8.3,6664.0
671,7.9,22559.0
672,7.7,18177.0
673,8.0,17877.0
674,7.8,17195.0
675,7.7,16311.0
676,6.9,5285.0
677,6.9,73.0
678,7.7,404.0
679,7.9,7660.0
680,8.5,23100.0
681,6.4,1587.0
682,6.4,1539.0
685,6.9,52.0
686,7.4,3512.0
687,7.4,1064.0
688,7.7,1671.0
689,7.4,53.0
690,7.4,356.0
691,6.8,1491.0
692,6.3,358.0
693,6.2,3979.0
694,8.2,14386.0
695,7.2,431.0
696,7.8,1905.0
697,7.0,143.0
698,6.1,1509.0
699,6.5,1408.0
700,6.3,1499.0
701,7.5,188.0
702,7.7,1050.0
703,7.8,3194.0
704,7.4,506.0
705,8.2,1197.0
706,6.7,33.0
707,6.1,1483.0
708,6.5,1331.0
709,6.3,1480.0
710,6.9,3108.0
